Order_ID,Order_Date,Customer_ID,Customer_City,Region,Warehouse_ID,Product_ID,Product_Category,Quantity,Unit_Price,Order_Value,Inventory_Before,Inventory_After,Processing_Time_Hours,Packing_Time_Hours,Shipping_Method,Shipping_Cost,Distance_KM,Expected_Delivery_Days,Actual_Delivery_Days,Delivery_Status,Priority,Return_Status,Warehouse_Capacity,Month,Delivery_Gap_Days,Fulfillment_Hours,Low_Stock_Flag
ORD10011,2026-03-09,CUST5494,Bengaluru,South,WH-West,P2301,Home & Kitchen,2,2904.89,5809.78,195,193,7.82,1.5,Standard,192.46,471.0,4,7,Delayed,Standard,No,82.6,2026-03-01,3,9.32,No
ORD10012,2026-04-07,CUST1960,Jaipur,North,WH-South,P2505,Toys,2,1447.63,2895.26,252,250,3.16,1.46,Standard,222.92,440.7,4,6,Delayed,Standard,No,74.6,2026-04-01,2,4.62,No
ORD10013,2026-08-01,CUST3976,Chandigarh,North,WH-West,P2185,Home & Kitchen,1,2188.56,2188.56,127,126,7.92,2.35,Economy,145.14,522.7,6,8,Delayed,High,No,72.4,2026-08-01,2,10.27,No
ORD10014,2026-06-02,CUST3456,Kanpur,North,WH-North,P1525,Furniture,1,3878.03,3878.03,208,207,4.13,1.17,Same Day,214.65,230.2,1,1,On Time,Standard,No,87.7,2026-06-01,0,5.3,No
ORD10015,2026-03-11,CUST4855,Kolkata,East,WH-South,P2078,Furniture,2,5061.32,10122.64,109,107,7.19,1.71,Standard,206.71,306.0,4,5,Delayed,Standard,No,69.1,2026-03-01,1,8.9,No
ORD10016,2026-01-23,CUST2151,Chennai,South,WH-North,P2417,Electronics,2,6034.19,12068.38,108,106,11.66,1.48,Standard,123.3,293.1,4,5,Delayed,Standard,Yes,90.7,2026-01-01,1,13.14,No
ORD10017,2026-07-04,CUST4357,Kolkata,East,WH-South,P2998,Accessories,3,398.47,1195.41,99,96,7.76,3.57,Express,376.73,648.7,2,4,Delayed,Standard,No,63.3,2026-07-01,2,11.33,No
ORD10018,2026-01-24,CUST1336,Kolkata,East,WH-North,P2783,Electronics,1,2733.54,2733.54,186,185,5.82,2.1,Economy,171.04,411.1,6,11,Delayed,Urgent,No,84.7,2026-01-01,5,7.92,No
ORD10019,2026-06-11,CUST1115,Lucknow,North,WH-North,P1617,Beauty,1,1837.39,1837.39,61,60,8.92,2.05,Standard,117.27,213.7,4,5,Delayed,Standard,No,80.1,2026-06-01,1,10.969999999999999,No
ORD10020,2026-07-02,CUST3327,Pune,West,WH-North,P1217,Grocery,1,734.23,734.23,112,111,11.7,0.69,Express,253.67,376.2,2,4,Delayed,Urgent,No,71.8,2026-07-01,2,12.389999999999999,No
ORD10021,2026-05-31,CUST2168,Kanpur,North,WH-North,P1569,Electronics,1,1158.7,1158.7,112,111,8.1,1.91,Express,60.75,20.0,2,4,Delayed,Urgent,No,100.0,2026-05-01,2,10.01,No
ORD10022,2026-06-14,CUST3387,Pune,West,WH-North,P2672,Accessories,5,925.79,4628.95,232,227,7.25,2.06,Same Day,383.5,277.3,1,3,Delayed,Standard,No,82.1,2026-06-01,2,9.31,No
ORD10023,2026-08-08,CUST4710,Bhubaneswar,East,WH-South,P2082,Beauty,1,978.67,978.67,167,166,6.54,3.3,Standard,185.55,327.7,4,4,On Time,Urgent,No,53.0,2026-08-01,0,9.84,No
ORD10024,2026-08-01,CUST5299,Jaipur,North,WH-North,P1764,Furniture,2,3954.69,7909.38,162,160,4.63,1.97,Express,242.88,343.1,2,3,Delayed,Urgent,No,87.1,2026-08-01,1,6.6,No
ORD10025,2026-05-16,CUST3746,Chandigarh,North,WH-West,P2340,Home & Kitchen,4,6126.05,24504.2,140,136,13.03,1.46,Express,369.47,436.7,2,2,On Time,High,No,78.3,2026-05-01,0,14.489999999999998,No
ORD10026,2026-01-05,CUST2016,Lucknow,North,WH-West,P2825,Grocery,5,253.72,1268.6,137,132,4.48,2.34,Economy,282.91,539.0,6,8,Delayed,Standard,No,70.9,2026-01-01,2,6.82,No
ORD10027,2026-08-17,CUST4637,Mumbai,West,WH-Central,P1677,Electronics,1,2652.92,2652.92,212,211,5.06,2.08,Standard,194.23,476.2,4,7,Delayed,Standard,No,89.8,2026-08-01,3,7.14,No
ORD10028,2026-02-23,CUST1236,Hyderabad,South,WH-Central,P1389,Electronics,1,2604.72,2604.72,79,78,7.93,1.82,Express,254.2,449.8,2,5,Delayed,Standard,No,87.3,2026-02-01,3,9.75,No
ORD10029,2026-08-14,CUST2332,Patna,East,WH-NCR,P1249,Furniture,1,2009.42,2009.42,84,83,10.22,2.37,Economy,176.01,474.4,6,10,Delayed,Standard,No,100.0,2026-08-01,4,12.59,No
ORD10030,2026-04-25,CUST1761,Mumbai,West,WH-South,P2687,Books,1,773.16,773.16,155,154,8.29,2.41,Standard,191.28,465.4,4,4,On Time,Standard,No,63.2,2026-04-01,0,10.7,No
ORD10031,2026-05-29,CUST1524,Pune,West,WH-East,P1346,Sports,2,2316.11,4632.22,74,72,7.12,2.75,Economy,156.15,286.1,6,7,Delayed,Standard,No,87.4,2026-05-01,1,9.870000000000001,No
ORD10032,2026-03-19,CUST4288,Patna,East,WH-South,P2410,Accessories,2,583.9,1167.8,128,126,9.38,1.57,Express,249.44,386.3,2,3,Delayed,Standard,No,49.6,2026-03-01,1,10.950000000000001,No
ORD10033,2026-01-25,CUST4597,Bhubaneswar,East,WH-North,P2236,Toys,1,1477.1,1477.1,143,142,3.72,0.84,Standard,187.5,357.5,4,6,Delayed,Standard,No,85.8,2026-01-01,2,4.5600000000000005,No
ORD10034,2026-04-19,CUST4813,Bengaluru,South,WH-East,P2401,Home & Kitchen,2,7003.81,14007.62,86,84,12.84,2.97,Express,185.52,267.2,2,4,Delayed,Standard,No,85.7,2026-04-01,2,15.81,No
ORD10035,2026-03-16,CUST1004,Delhi,North,WH-North,P2871,Grocery,1,447.71,447.71,92,91,4.68,1.62,Economy,88.61,185.8,6,7,Delayed,Standard,No,83.6,2026-03-01,1,6.3,No
ORD10036,2026-04-10,CUST3027,Mumbai,West,WH-NCR,P1259,Toys,2,1290.27,2580.54,167,165,10.48,1.94,Standard,218.16,526.9,4,8,Delayed,Urgent,No,96.1,2026-04-01,4,12.42,No
ORD10037,2026-03-19,CUST2909,Delhi,North,WH-South,P1376,Toys,1,1572.76,1572.76,88,87,10.1,2.54,Express,129.64,153.4,2,4,Delayed,High,Yes,66.4,2026-03-01,2,12.64,No
ORD10038,2026-03-30,CUST2066,Chennai,South,WH-NCR,P1089,Home & Kitchen,1,2740.33,2740.33,224,223,7.95,1.71,Standard,180.33,411.8,4,6,Delayed,Standard,No,100.0,2026-03-01,2,9.66,No
ORD10039,2026-07-19,CUST3036,Lucknow,North,WH-Central,P1478,Books,2,559.58,1119.16,165,163,12.59,0.89,Standard,181.58,532.4,4,4,On Time,Standard,No,99.5,2026-07-01,0,13.48,No
ORD10040,2026-07-03,CUST4229,Pune,West,WH-East,P2672,Sports,2,2785.21,5570.42,160,158,8.84,1.36,Standard,209.85,401.2,4,3,On Time,Urgent,No,84.4,2026-07-01,-1,10.2,No
ORD10041,2026-04-14,CUST4006,Chandigarh,North,WH-South,P2234,Beauty,2,1331.04,2662.08,206,204,2.43,2.2,Standard,194.65,236.6,4,5,Delayed,High,No,67.6,2026-04-01,1,4.630000000000001,No
ORD10042,2026-05-31,CUST2793,Bengaluru,South,WH-West,P1814,Toys,3,1050.46,3151.38,160,157,7.61,2.31,Standard,331.86,675.8,4,8,Delayed,Standard,No,67.9,2026-05-01,4,9.92,No
ORD10043,2026-04-01,CUST4601,Chandigarh,North,WH-NCR,P1640,Beauty,1,2820.88,2820.88,147,146,6.56,1.7,Same Day,169.25,282.3,1,2,Delayed,Standard,No,99.0,2026-04-01,1,8.26,No
ORD10044,2026-04-28,CUST1342,Chennai,South,WH-North,P1476,Home & Kitchen,1,1285.36,1285.36,132,131,9.91,1.51,Standard,160.03,369.3,4,6,Delayed,Standard,No,84.1,2026-04-01,2,11.42,No
ORD10045,2026-06-24,CUST4058,Ranchi,East,WH-NCR,P1194,Electronics,1,2365.23,2365.23,49,48,5.41,2.79,Standard,187.47,278.0,4,5,Delayed,Standard,No,100.0,2026-06-01,1,8.2,No
ORD10046,2026-07-06,CUST1328,Mumbai,West,WH-South,P2078,Fashion,1,1022.12,1022.12,130,129,7.31,1.87,Standard,224.92,457.6,4,7,Delayed,Standard,No,50.6,2026-07-01,3,9.18,No
ORD10047,2026-05-31,CUST4157,Bengaluru,South,WH-Central,P1147,Home & Kitchen,3,4763.36,14290.08,142,139,7.04,2.04,Same Day,358.73,416.9,1,2,Delayed,Standard,No,85.9,2026-05-01,1,9.08,No
ORD10048,2026-03-27,CUST2388,Bhubaneswar,East,WH-NCR,P2304,Fashion,3,948.47,2845.41,182,179,10.68,0.77,Standard,235.83,296.3,4,3,On Time,High,No,100.0,2026-03-01,-1,11.45,No
ORD10049,2026-04-19,CUST3658,Delhi,North,WH-NCR,P2751,Toys,5,548.58,2742.9,110,105,11.76,2.06,Express,187.47,20.0,2,2,On Time,Standard,No,100.0,2026-04-01,0,13.82,No
ORD10050,2026-07-18,CUST3954,Chandigarh,North,WH-North,P2709,Fashion,1,1195.56,1195.56,206,205,6.81,0.2,Express,95.1,72.1,2,2,On Time,Urgent,No,90.8,2026-07-01,0,7.01,No
ORD10051,2026-02-24,CUST3712,Delhi,North,WH-South,P1758,Accessories,1,945.61,945.61,110,109,7.41,1.84,Standard,221.63,423.0,4,6,Delayed,Standard,No,71.5,2026-02-01,2,9.25,No
ORD10052,2026-02-04,CUST5227,Mumbai,West,WH-Central,P2522,Electronics,1,2010.5,2010.5,124,123,8.05,1.27,Standard,123.16,297.8,4,7,Delayed,Standard,No,82.4,2026-02-01,3,9.32,No
ORD10053,2026-07-17,CUST4727,Chandigarh,North,WH-North,P2595,Home & Kitchen,1,995.18,995.18,190,189,6.79,2.43,Standard,162.15,307.7,4,6,Delayed,Urgent,No,88.9,2026-07-01,2,9.22,No
ORD10054,2026-05-26,CUST2467,Hyderabad,South,WH-North,P2514,Accessories,1,970.62,970.62,128,127,9.29,2.09,Standard,189.01,320.3,4,5,Delayed,High,No,89.5,2026-05-01,1,11.379999999999999,No
ORD10055,2026-07-13,CUST1311,Pune,West,WH-North,P1739,Toys,1,625.55,625.55,200,199,6.48,1.69,Express,274.35,371.9,2,4,Delayed,Standard,No,86.3,2026-07-01,2,8.17,No
ORD10056,2026-01-03,CUST4501,Hyderabad,South,WH-NCR,P2166,Books,1,667.15,667.15,107,106,14.27,1.54,Standard,166.9,353.3,4,6,Delayed,Standard,No,77.3,2026-01-01,2,15.809999999999999,No
ORD10057,2026-08-14,CUST5868,Ahmedabad,West,WH-West,P2595,Beauty,2,439.79,879.58,154,152,4.33,1.81,Economy,118.71,102.2,6,7,Delayed,Standard,No,72.4,2026-08-01,1,6.140000000000001,No
ORD10058,2026-05-25,CUST1003,Ahmedabad,West,WH-NCR,P1160,Sports,1,888.08,888.08,120,119,5.26,1.61,Express,240.49,390.5,2,3,Delayed,Standard,No,84.6,2026-05-01,1,6.87,No
ORD10059,2026-03-13,CUST4973,Kanpur,North,WH-West,P2200,Toys,2,941.88,1883.76,188,186,6.49,0.77,Standard,229.01,510.8,4,5,Delayed,High,No,79.8,2026-03-01,1,7.26,No
ORD10060,2026-08-04,CUST3384,Hyderabad,South,WH-South,P2192,Grocery,1,475.33,475.33,129,128,0.5,1.39,Express,179.64,121.3,2,3,Delayed,Urgent,No,82.8,2026-08-01,1,1.89,No
ORD10061,2026-08-12,CUST4118,Kolkata,East,WH-NCR,P2691,Furniture,1,7499.34,7499.34,85,84,9.91,1.93,Standard,196.77,385.0,4,7,Delayed,High,No,96.7,2026-08-01,3,11.84,No
ORD10062,2026-05-28,CUST2888,Delhi,North,WH-East,P1484,Toys,1,1337.05,1337.05,276,275,7.75,1.72,Express,273.76,438.6,2,4,Delayed,Urgent,No,80.5,2026-05-01,2,9.47,No
ORD10063,2026-08-03,CUST4610,Lucknow,North,WH-NCR,P2506,Electronics,2,3150.2,6300.4,247,245,12.66,1.48,Express,156.66,104.5,2,3,Delayed,Standard,No,100.0,2026-08-01,1,14.14,No
ORD10064,2026-04-11,CUST5027,Patna,East,WH-South,P1084,Beauty,1,517.47,517.47,107,106,4.14,2.5,Standard,269.45,584.6,4,5,Delayed,Urgent,No,58.8,2026-04-01,1,6.64,No
ORD10065,2026-01-27,CUST4634,Mumbai,West,WH-Central,P1199,Grocery,5,898.73,4493.65,105,100,3.5,3.01,Same Day,517.09,510.7,1,3,Delayed,Urgent,No,86.2,2026-01-01,2,6.51,No
ORD10066,2026-01-21,CUST1274,Kanpur,North,WH-Central,P2344,Grocery,3,1253.98,3761.94,217,214,2.84,2.22,Standard,219.29,290.8,4,3,On Time,Urgent,No,100.0,2026-01-01,-1,5.0600000000000005,No
ORD10067,2026-08-30,CUST1002,Lucknow,North,WH-South,P1225,Sports,1,2563.56,2563.56,141,140,6.93,1.6,Standard,169.93,449.6,4,7,Delayed,Standard,No,75.0,2026-08-01,3,8.53,No
ORD10068,2026-06-09,CUST1553,Delhi,North,WH-NCR,P2394,Electronics,2,1876.38,3752.76,66,64,8.77,1.31,Same Day,248.34,192.2,1,2,Delayed,Standard,No,100.0,2026-06-01,1,10.08,No
ORD10069,2026-05-21,CUST2561,Kolkata,East,WH-NCR,P2325,Fashion,2,1515.05,3030.1,202,200,8.82,3.38,Express,338.95,437.9,2,6,Delayed,High,No,90.3,2026-05-01,4,12.2,No
ORD10070,2026-02-18,CUST1159,Kanpur,North,WH-West,P2978,Books,1,646.55,646.55,138,137,8.42,0.6,Standard,174.1,428.9,4,5,Delayed,Standard,No,60.7,2026-02-01,1,9.02,No
ORD10071,2026-01-18,CUST4624,Bhubaneswar,East,WH-Central,P1021,Grocery,1,297.11,297.11,261,260,10.02,1.97,Economy,110.33,254.0,6,8,Delayed,High,No,89.4,2026-01-01,2,11.99,No
ORD10072,2026-01-28,CUST3114,Ranchi,East,WH-West,P2187,Accessories,2,925.49,1850.98,101,99,8.52,1.74,Standard,147.81,181.9,4,4,On Time,Standard,No,74.6,2026-01-01,0,10.26,No
ORD10073,2026-04-28,CUST2308,Chandigarh,North,WH-North,P2145,Electronics,2,1737.78,3475.56,102,100,7.22,1.1,Standard,163.53,148.9,4,6,Delayed,Standard,No,72.9,2026-04-01,2,8.32,No
ORD10074,2026-02-28,CUST2009,Chennai,South,WH-Central,P1691,Grocery,1,824.83,824.83,177,176,7.49,2.76,Express,238.84,411.4,2,4,Delayed,Standard,No,84.2,2026-02-01,2,10.25,No
ORD10075,2026-01-08,CUST5613,Patna,East,WH-East,P2519,Beauty,5,958.24,4791.2,142,137,9.79,0.2,Standard,176.22,75.5,4,4,On Time,Standard,No,84.2,2026-01-01,0,9.989999999999998,No
ORD10076,2026-04-15,CUST4674,Mumbai,West,WH-West,P2982,Electronics,2,3745.11,7490.22,137,135,9.7,2.22,Express,281.11,312.7,2,4,Delayed,Urgent,No,62.9,2026-04-01,2,11.92,No
ORD10077,2026-02-23,CUST1455,Kolkata,East,WH-North,P2625,Sports,1,1548.46,1548.46,128,127,7.85,1.45,Express,289.5,436.6,2,4,Delayed,Standard,No,80.9,2026-02-01,2,9.299999999999999,No
ORD10078,2026-01-26,CUST3864,Chandigarh,North,WH-West,P2474,Accessories,1,537.16,537.16,222,221,5.21,1.07,Standard,187.21,470.4,4,7,Delayed,Standard,No,84.3,2026-01-01,3,6.28,No
ORD10079,2026-02-16,CUST4189,Mumbai,West,WH-NCR,P2148,Accessories,1,832.92,832.92,63,62,0.5,1.63,Express,340.49,552.6,2,5,Delayed,Standard,No,94.7,2026-02-01,3,2.13,No
ORD10080,2026-01-02,CUST5017,Ranchi,East,WH-West,P1589,Home & Kitchen,1,2020.72,2020.72,149,148,2.26,1.93,Standard,216.18,566.5,4,3,On Time,High,No,75.2,2026-01-01,-1,4.1899999999999995,No
ORD10081,2026-05-03,CUST2301,Jaipur,North,WH-Central,P1726,Books,2,524.28,1048.56,58,56,7.45,1.34,Standard,230.14,447.6,4,6,Delayed,Urgent,No,98.9,2026-05-01,2,8.790000000000001,No
ORD10082,2026-06-13,CUST4041,Kolkata,East,WH-West,P2463,Furniture,2,5277.62,10555.24,67,65,7.89,3.06,Standard,230.13,578.4,4,6,Delayed,Standard,No,79.1,2026-06-01,2,10.95,No
ORD10083,2026-02-04,CUST5359,Lucknow,North,WH-North,P2621,Electronics,2,2984.45,5968.9,142,140,7.12,1.9,Express,139.45,20.0,2,4,Delayed,Standard,Yes,70.5,2026-02-01,2,9.02,No
ORD10084,2026-06-18,CUST4047,Lucknow,North,WH-South,P1708,Sports,1,2877.61,2877.61,90,89,8.91,1.81,Express,261.14,547.1,2,2,On Time,Standard,No,80.6,2026-06-01,0,10.72,No
ORD10085,2026-08-03,CUST5212,Bhubaneswar,East,WH-South,P2288,Fashion,2,1310.75,2621.5,87,85,11.73,2.61,Standard,166.66,287.1,4,5,Delayed,Standard,Yes,63.8,2026-08-01,1,14.34,No
ORD10086,2026-01-05,CUST4944,Mumbai,West,WH-East,P2272,Beauty,4,1623.66,6494.64,158,154,2.64,0.72,Same Day,471.45,447.6,1,1,On Time,Standard,No,76.7,2026-01-01,0,3.3600000000000003,No
ORD10087,2026-03-16,CUST5931,Kolkata,East,WH-West,P2204,Grocery,1,865.16,865.16,83,82,7.44,3.73,Standard,146.73,368.2,4,4,On Time,Standard,No,62.5,2026-03-01,0,11.17,No
ORD10088,2026-05-14,CUST4139,Patna,East,WH-South,P2872,Beauty,3,1101.52,3304.56,90,87,1.42,2.85,Standard,207.44,556.4,4,7,Delayed,Standard,No,76.7,2026-05-01,3,4.27,No
ORD10089,2026-01-25,CUST5224,Pune,West,WH-West,P2632,Furniture,1,8956.01,8956.01,123,122,1.49,1.85,Express,174.6,118.0,2,2,On Time,Urgent,No,74.8,2026-01-01,0,3.34,No
ORD10090,2026-08-26,CUST1883,Kolkata,East,WH-West,P1263,Beauty,1,1022.37,1022.37,78,77,11.29,2.85,Standard,174.31,367.4,4,5,Delayed,Standard,No,68.7,2026-08-01,1,14.139999999999999,No
ORD10091,2026-05-13,CUST5606,Kolkata,East,WH-East,P2207,Beauty,5,1095.56,5477.8,193,188,8.4,3.6,Standard,144.98,20.0,4,3,On Time,Urgent,No,64.6,2026-05-01,-1,12,No
ORD10092,2026-04-27,CUST3558,Lucknow,North,WH-North,P2732,Grocery,1,884.77,884.77,78,77,2.86,2.13,Standard,89.22,60.7,4,2,On Time,High,No,100.0,2026-04-01,-2,4.99,No
ORD10093,2026-08-30,CUST4898,Lucknow,North,WH-West,P2980,Fashion,1,647.24,647.24,49,48,7.8,2.14,Economy,172.14,369.7,6,7,Delayed,Urgent,No,86.6,2026-08-01,1,9.94,No
ORD10094,2026-05-09,CUST4507,Ahmedabad,West,WH-South,P1408,Books,2,566.26,1132.52,165,163,7.09,1.47,Standard,263.02,460.6,4,5,Delayed,Standard,No,68.7,2026-05-01,1,8.56,No
ORD10095,2026-03-14,CUST4010,Kanpur,North,WH-North,P1463,Grocery,1,424.46,424.46,86,85,10.34,2.88,Standard,109.78,202.6,4,5,Delayed,High,No,78.5,2026-03-01,1,13.219999999999999,No
ORD10096,2026-08-20,CUST5942,Lucknow,North,WH-North,P1124,Beauty,1,1238.54,1238.54,154,153,10.43,1.55,Economy,162.31,291.3,6,9,Delayed,High,No,77.4,2026-08-01,3,11.98,No
ORD10097,2026-04-14,CUST1647,Hyderabad,South,WH-East,P1663,Sports,1,1971.02,1971.02,128,127,8.43,1.15,Same Day,440.5,586.3,1,1,On Time,Urgent,No,88.7,2026-04-01,0,9.58,No
ORD10098,2026-07-03,CUST1515,Kolkata,East,WH-North,P1703,Sports,2,1690.07,3380.14,133,131,2.19,2.23,Standard,193.73,368.1,4,6,Delayed,High,No,100.0,2026-07-01,2,4.42,No
ORD10099,2026-01-10,CUST2429,Mumbai,West,WH-East,P2920,Books,1,811.23,811.23,107,106,9.85,2.93,Express,267.85,479.6,2,5,Delayed,Standard,No,74.4,2026-01-01,3,12.78,No
ORD10100,2026-07-05,CUST3180,Patna,East,WH-East,P2647,Fashion,1,1563.9,1563.9,132,131,11.07,1.45,Economy,92.6,257.8,6,6,On Time,Standard,No,80.9,2026-07-01,0,12.52,No
ORD10101,2026-07-05,CUST3948,Bhubaneswar,East,WH-East,P2912,Accessories,3,177.04,531.12,46,43,11.08,0.93,Express,278.57,331.5,2,3,Delayed,High,No,74.7,2026-07-01,1,12.01,No
ORD10102,2026-08-08,CUST3811,Patna,East,WH-South,P2327,Fashion,1,1375.57,1375.57,70,69,8.08,2.39,Express,215.71,390.7,2,3,Delayed,Standard,No,67.3,2026-08-01,1,10.47,No
ORD10103,2026-07-24,CUST4697,Chennai,South,WH-Central,P2886,Sports,2,1704.04,3408.08,248,246,3.99,1.84,Same Day,386.53,334.9,1,1,On Time,Urgent,No,76.7,2026-07-01,0,5.83,No
ORD10104,2026-05-06,CUST3979,Patna,East,WH-East,P1641,Sports,1,1061.07,1061.07,135,134,6.59,2.72,Same Day,233.44,156.6,1,1,On Time,Standard,No,86.3,2026-05-01,0,9.31,No
ORD10105,2026-07-24,CUST1582,Ahmedabad,West,WH-Central,P2580,Sports,1,3422.6,3422.6,93,92,6.03,1.96,Standard,248.49,547.6,4,5,Delayed,Standard,No,85.6,2026-07-01,1,7.99,No
ORD10106,2026-06-19,CUST4738,Bengaluru,South,WH-South,P1492,Toys,1,2025.16,2025.16,183,182,12.69,2.75,Standard,118.6,92.6,4,4,On Time,Standard,Yes,73.6,2026-06-01,0,15.44,No
ORD10107,2026-03-02,CUST1573,Ahmedabad,West,WH-West,P2378,Furniture,1,6789.24,6789.24,77,76,8.71,2.21,Economy,88.22,164.2,6,9,Delayed,Standard,No,80.1,2026-03-01,3,10.920000000000002,No
ORD10108,2026-03-27,CUST5684,Kolkata,East,WH-Central,P1344,Furniture,2,21546.95,43093.9,277,275,9.63,1.83,Standard,227.53,588.0,4,7,Delayed,Standard,No,100.0,2026-03-01,3,11.46,No
ORD10109,2026-02-27,CUST4868,Ranchi,East,WH-South,P2050,Accessories,5,502.27,2511.35,115,110,11.08,2.09,Express,426.27,577.9,2,3,Delayed,High,No,65.7,2026-02-01,1,13.17,No
ORD10110,2026-06-01,CUST3556,Delhi,North,WH-North,P1476,Furniture,1,3216.73,3216.73,60,59,4.42,1.64,Standard,143.64,324.9,4,5,Delayed,Urgent,Yes,84.9,2026-06-01,1,6.06,No
ORD10111,2026-01-08,CUST1613,Bengaluru,South,WH-East,P1928,Grocery,1,314.1,314.1,65,64,8.5,0.2,Express,329.71,577.6,2,3,Delayed,Urgent,No,76.3,2026-01-01,1,8.7,No
ORD10112,2026-05-11,CUST3401,Kolkata,East,WH-Central,P1196,Grocery,1,500.34,500.34,81,80,7.57,2.02,Economy,215.12,619.5,6,8,Delayed,Urgent,No,91.1,2026-05-01,2,9.59,No
ORD10113,2026-05-11,CUST1588,Bengaluru,South,WH-Central,P1476,Accessories,1,565.12,565.12,78,77,8.67,2.12,Express,318.16,608.1,2,2,On Time,High,No,87.3,2026-05-01,0,10.79,No
ORD10114,2026-06-12,CUST5385,Patna,East,WH-North,P1724,Grocery,1,218.96,218.96,130,129,5.71,2.17,Standard,184.61,500.6,4,8,Delayed,Standard,No,87.2,2026-06-01,4,7.88,No
ORD10115,2026-07-23,CUST5647,Bhubaneswar,East,WH-East,P1393,Fashion,1,1187.01,1187.01,143,142,4.18,2.61,Standard,95.83,134.6,4,4,On Time,Standard,No,83.1,2026-07-01,0,6.789999999999999,No
ORD10116,2026-06-25,CUST5089,Kanpur,North,WH-North,P1083,Fashion,2,1301.0,2602.0,97,95,3.81,1.6,Standard,129.71,21.5,4,4,On Time,Standard,No,82.2,2026-06-01,0,5.41,No
ORD10117,2026-07-22,CUST5917,Patna,East,WH-NCR,P2763,Accessories,2,967.17,1934.34,179,177,12.76,3.54,Standard,225.35,513.8,4,6,Delayed,High,No,78.9,2026-07-01,2,16.3,No
ORD10118,2026-07-20,CUST4517,Bengaluru,South,WH-West,P2929,Furniture,1,5688.7,5688.7,175,174,11.79,2.51,Standard,178.94,372.1,4,7,Delayed,Urgent,No,71.5,2026-07-01,3,14.299999999999999,No
ORD10119,2026-06-06,CUST5275,Jaipur,North,WH-NCR,P1132,Fashion,3,605.1,1815.3,155,152,14.53,1.54,Express,184.61,20.0,2,4,Delayed,Urgent,No,93.4,2026-06-01,2,16.07,No
ORD10120,2026-01-27,CUST4452,Pune,West,WH-South,P1362,Beauty,1,1197.44,1197.44,277,276,6.51,3.04,Standard,203.96,523.3,4,6,Delayed,Standard,No,68.8,2026-01-01,2,9.55,No
ORD10121,2026-02-23,CUST3430,Delhi,North,WH-South,P1233,Electronics,2,2833.36,5666.72,26,24,2.94,2.67,Same Day,511.71,733.6,1,4,Delayed,Urgent,No,64.1,2026-02-01,3,5.609999999999999,No
